ID_NEWLAND,Area(ha),D_Co2_T/ha,O_SOC_Tm/h,O_Tre_Tm/h,O_Co2_Tot,B_Co2_%,O_PBF_Tm/h,O_Liv_Tm/h,O_NPP_TOT,D_PBF_Tm/h,D_Liv_Tm/h,D_NPP_TOT,B_NPP_%,x_coord,y_coord
"265","5.2822552870","114.201","0.029011067043651","0.000","0.153","0.000254","8.905325","0.000000","47.040200","3.071800","0.000","16.226030","2.8991","527121.4741","4752144.1520"
"268","4.4944506330","114.201","0.028733898401260","0.000","0.129","0.000251","9.819376","0.000000","44.132700","3.071800","0.000","13.806050","3.1966","528724.0499","4752162.4130"
"271","4.6720790680","114.201","0.028715761689579","0.000","0.134","0.000251","8.760725","0.000000","40.930800","3.071800","0.000","14.351690","2.8520","527283.1703","4752174.3760"
"274","2.4120327770","114.201","0.028756623797947","0.000","0.069","0.000250","51.208052","0.000000","123.515500","3.071800","0.000","7.409280","16.6704","528435.0805","4752202.6300"
"275","0.1678384750","114.201","0.028788722954587","0.000","0.005","0.000261","7.485769","0.000000","1.256400","3.071800","0.000","0.515570","2.4369","529831.6058","4752299.8410"
"276","2.0456111580","114.201","0.028776568770409","0.000","0.059","0.000253","7.832378","0.000000","16.022000","3.071800","0.000","6.283710","2.5498","529708.6042","4752295.9570"
"278","0.1969089220","114.201","0.028855312305305","0.000","0.006","0.000267","21.749141","0.000000","4.282600","3.071800","0.000","0.604860","7.0803","526650.8953","4752320.2910"
"279","0.6746679560","114.201","0.028686283826828","0.000","0.019","0.000247","9.428045","0.000000","6.360800","3.071800","0.000","2.072450","3.0692","527312.0426","4752287.4940"
"280","1.5614087660","114.201","0.028758098738534","0.000","0.045","0.000252","0.000000","0.000000","0.000000","0.000000","0.000","0.000000","0.0000","528867.0040","4752268.8790"
"282","1.6006445350","114.201","0.028912851333618","0.000","0.046","0.000252","55.130542","0.000000","88.244400","3.071800","0.000","4.916860","17.9473","526756.9688","4752193.6960"
"286","0.1510424840","114.201","0.028748012438582","20.921","3.164","0.183431","0.000000","0.000000","0.000000","0.000000","0.000","0.000000","0.0000","529366.3054","4752265.5250"
"287","0.1867920680","114.201","0.028754937584650","0.000","0.005","0.000234","4.825687","0.000000","0.901400","3.071800","0.000","0.573790","1.5710","529388.2188","4752310.9940"
"288","0.1494345190","114.201","0.028739482444467","0.000","0.004","0.000234","0.000000","0.000000","0.000000","0.000000","0.000","0.000000","0.0000","528593.7259","4752303.5030"
"289","0.2208006120","114.201","0.028826029300690","0.000","0.006","0.000238","63.249825","0.000000","13.965600","3.071800","0.000","0.678260","20.5903","528146.5088","4752298.9430"
"290","0.2749102060","114.201","0.028955070972443","0.000","0.008","0.000255","0.000000","2.138999","0.587571","0.000000","17.001","4.670000","0.1258","526658.6243","4752289.4510"
"293","0.5510496210","114.201","0.028734960556030","0.000","0.016","0.000254","0.000000","0.000000","0.000000","0.000000","0.000","0.000000","0.0000","529507.1650","4752141.7620"
"294","1.2122214700","114.201","0.028749725818634","0.000","0.035","0.000253","68.373892","0.000000","82.884300","3.071800","0.000","3.723700","22.2586","528501.7809","4752187.8270"
"295","0.1009063960","114.201","0.028744399641291","34.190","3.453","0.299636","0.000000","0.000000","0.000000","0.000000","0.000","0.000000","0.0000","529370.4448","4752228.6050"
"299","2.8941403260","114.201","0.028732789213007","0.000","0.083","0.000251","10.248363","0.000000","29.660200","3.071800","0.000","8.890220","3.3363","529499.1064","4752122.9780"
"300","0.6716338850","114.201","0.028748742938042","4.705","3.179","0.041447","21.446506","0.000000","14.404200","3.071800","0.000","2.063120","6.9818","529425.7126","4752241.6370"
"302","1.4012972340","114.201","0.028741547465324","0.000","0.040","0.000250","2.954405","0.000000","4.140000","3.071800","0.000","4.304500","0.9618","528587.7239","4752227.1800"
"305","0.1840347650","114.201","0.029013391091312","0.000","0.005","0.000238","14.100597","0.000000","2.595000","3.071800","0.000","0.565320","4.5903","526987.4312","4752285.8610"
"307","3.4269981160","114.201","0.028745401203632","0.000","0.099","0.000253","64.552968","0.000000","221.222900","3.071800","0.000","10.527050","21.0147","528124.6568","4752174.2310"
"310","0.1397421480","114.201","0.034234035885216","0.000","0.005","0.000313","0.000000","2.851999","0.398250","0.000000","22.673","3.166000","0.1258","517772.8441","4752245.2740"
"312","0.8958740710","114.201","0.028868138790131","0.000","0.026","0.000254","48.745467","0.000000","43.669800","3.071800","0.000","2.751950","15.8687","526705.7872","4752185.3120"
"315","4.8678110600","114.201","0.028871266007423","0.000","0.141","0.000254","7.594009","0.000000","36.966200","3.071800","0.000","14.952940","2.4722","530427.6758","4752109.3700"
